2016-02-29 1:28:46 - PHP Notice:  Undefined variable: text_dashboard in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 2
2016-02-29 1:30:07 - PHP Notice:  Undefined variable: home in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 2
2016-02-29 1:30:07 - PHP Notice:  Undefined variable: text_dashboard in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 2
2016-02-29 2:26:00 - PHP Notice:  Undefined variable: entry_export in /home/user/Documents/Store/opencart/src/upload/admin/view/template/tool/backup.tpl on line 43
2016-02-29 3:02:54 - PHP Notice:  Indirect modification of overloaded property ControllerApiCustomer::$session has no effect in /home/user/Documents/Store/opencart/src/upload/catalog/controller/api/customer.php on line 7
2016-02-29 3:02:54 - PHP Warning:  Attempt to modify property of non-object in /home/user/Documents/Store/opencart/src/upload/catalog/controller/api/customer.php on line 7
2016-02-29 3:03:02 - PHP Notice:  Indirect modification of overloaded property ControllerApiCustomer::$session has no effect in /home/user/Documents/Store/opencart/src/upload/catalog/controller/api/customer.php on line 7
2016-02-29 3:03:02 - PHP Warning:  Attempt to modify property of non-object in /home/user/Documents/Store/opencart/src/upload/catalog/controller/api/customer.php on line 7
2016-02-29 6:37:48 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 6:45:17 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 6:55:58 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 7:08:54 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 7:10:50 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 7:17:06 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 7:18:21 - PHP Warning:  fsockopen(): unable to connect to imap.qq.com:465 (Connection timed out) in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 170
2016-02-29 7:18:21 - PHP Notice:  Error: Connection timed out (110) in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 173
2016-02-29 7:22:16 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 7:25:22 - PHP Notice:  Undefined property: Mail::$crlf in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 187
2016-02-29 7:25:22 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 7:27:00 - PHP Notice:  Undefined property: Mail::$crlf in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 187
2016-02-29 7:27:00 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 7:31:51 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 7:38:23 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 8:07:39 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 8:16:38 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 199
2016-02-29 8:25:09 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 200
2016-02-29 8:29:41 - PHP Notice:  Error: EHLO not accepted from server! in /home/user/Documents/Store/opencart/src/upload/system/library/mail.php on line 200
2016-02-29 9:39:20 - PHP Notice:  Undefined variable: data in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/menu.php on line 5
2016-02-29 9:54:26 - PHP Notice:  Array to string conversion in /home/user/Documents/Store/opencart/src/upload/system/library/user.php on line 95
2016-02-29 9:54:26 - PHP Warning:  require(Array): failed to open stream: No such file or directory in /home/user/Documents/Store/opencart/src/upload/system/library/user.php on line 95
2016-02-29 9:55:06 - PHP Notice:  Array to string conversion in /home/user/Documents/Store/opencart/src/upload/system/library/user.php on line 95
2016-02-29 9:55:06 - PHP Warning:  require(Array): failed to open stream: No such file or directory in /home/user/Documents/Store/opencart/src/upload/system/library/user.php on line 95
2016-02-29 9:55:24 - PHP Notice:  Array to string conversion in /home/user/Documents/Store/opencart/src/upload/system/library/user.php on line 95
2016-02-29 9:55:24 - PHP Warning:  require(Array): failed to open stream: No such file or directory in /home/user/Documents/Store/opencart/src/upload/system/library/user.php on line 95
2016-02-29 10:18:19 - PHP Notice:  Undefined offset: 0 in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/dashboard.php on line 55
2016-02-29 10:18:26 - PHP Notice:  Undefined offset: 0 in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/dashboard.php on line 55
2016-02-29 10:18:36 - PHP Notice:  Undefined offset: 0 in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/dashboard.php on line 55
2016-02-29 10:18:55 - PHP Notice:  Array to string conversion in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/dashboard.php on line 55
2016-02-29 10:19:03 - PHP Notice:  Array to string conversion in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/dashboard.php on line 55
2016-02-29 10:33:27 - PHP Notice:  Array to string conversion in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 3
2016-02-29 10:35:03 - PHP Notice:  Array to string conversion in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 5
2016-02-29 10:35:03 - PHP Notice:  Array to string conversion in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 5
2016-02-29 10:38:23 - PHP Notice:  Undefined offset: 0 in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/menu.php on line 209
2016-02-29 10:38:23 - PHP Warning:  Invalid argument supplied for foreach() in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 4
2016-03-01 0:46:04 - PHP Notice:  Undefined property: Loader::$user in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 6
2016-03-01 0:47:36 - PHP Notice:  Undefined property: Loader::$user in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 6
2016-03-01 0:54:25 - PHP Notice:  Undefined property: Loader::$user in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 6
2016-03-01 0:54:25 - PHP Notice:  Undefined property: Loader::$user in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 6
2016-03-01 2:02:50 - PHP Notice:  Undefined index: qry_route in /home/user/Documents/Store/opencart/src/upload/admin/controller/extension/openbay.php on line 447
2016-03-01 5:20:19 - PHP Notice:  Use of undefined constant length - assumed 'length' in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/menu.php on line 350
2016-03-01 5:20:19 - PHP Notice:  Undefined variable: catalog in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 4
2016-03-01 5:20:55 - PHP Notice:  Trying to get property of non-object in /home/user/Documents/Store/opencart/src/upload/admin/controller/common/menu.php on line 350
2016-03-01 5:20:55 - PHP Notice:  Undefined variable: catalog in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 4
2016-03-01 5:22:22 - PHP Notice:  Undefined variable: catalog in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 4
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:38 - PHP Notice:  Undefined variable: catalog/recurring in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:41 - PHP Notice:  Undefined variable: catalog/recurring in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/recurring in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/recurring in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:42 - PHP Notice:  Undefined variable: catalog/recurring in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:45 - PHP Notice:  Undefined variable: catalog/recurring in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:55 - PHP Notice:  Undefined variable: catalog/recurring in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:43:56 - PHP Notice:  Undefined variable: catalog/recurring in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:51:10 - PHP Notice:  Undefined variable: catalog/category in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:51:10 - PHP Notice:  Undefined variable: catalog/download in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:51:10 - PHP Notice:  Undefined variable: catalog/filter in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:51:10 - PHP Notice:  Undefined variable: catalog/information in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:51:10 - PHP Notice:  Undefined variable: catalog/manufacturer in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:51:10 - PHP Notice:  Undefined variable: catalog/option in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:51:10 - PHP Notice:  Undefined variable: catalog/product in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
2016-03-01 5:51:10 - PHP Notice:  Undefined variable: catalog/review in /home/user/Documents/Store/opencart/src/upload/admin/view/template/common/menu.tpl on line 9
